winner,loser,winner_rating_before,loser_rating_before,winner_rating_after,loser_rating_after,winner_expected,rating_change_winner,rating_change_loser
sup4_ppo_rm3_kl20,sup4_ppo_rm3_kl20,-80484.0,-80484.0,-80468.0,-80500.0,0.5,16.0,-16.0
sup4_t0.7,sup4_t0.7,-28025.14110570286,-28025.14110570286,-28009.14110570286,-28041.14110570286,0.5,16.0,-16.0
sup4_ppo_rm3_kl20,sup4_ppo_rm3_kl20,-82356.0,-82356.0,-82340.0,-82372.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl20,sup4_ppo_rm3_kl20,-83668.0,-83668.0,-83652.0,-83684.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl10,sup4_ppo_rm3_kl10,-82836.0,-82836.0,-82820.0,-82852.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl20,sup4_ppo_rm3_kl20,-85124.0,-85124.0,-85108.0,-85140.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl20,sup4_ppo_rm3_kl20,-86292.0,-86292.0,-86276.0,-86308.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl20,sup4_ppo_rm3_kl20,-87316.0,-87316.0,-87300.0,-87332.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl10,sup4_ppo_rm3_kl10,-84436.0,-84436.0,-84420.0,-84452.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl20,sup4_ppo_rm3_kl20,-89236.0,-89236.0,-89220.0,-89252.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl20,sup4_ppo_rm3_kl20,-90452.0,-90452.0,-90436.0,-90468.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl10,sup4_ppo_rm3_kl10,-85908.0,-85908.0,-85892.0,-85924.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl10,sup4_ppo_rm3_kl10,-87220.0,-87220.0,-87204.0,-87236.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl20,sup4_ppo_rm3_kl20,-91572.0,-91572.0,-91556.0,-91588.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl10,sup4_ppo_rm3_kl10,-88692.0,-88692.0,-88676.0,-88708.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl20,sup4_ppo_rm3_kl20,-92836.0,-92836.0,-92820.0,-92852.0,0.5,16.0,-16.0
sup4_t0.7,sup4_t0.7,-29753.141105939765,-29753.141105939765,-29737.141105939765,-29769.141105939765,0.5,16.0,-16.0
sup4_ppo_rm3_kl20,sup4_ppo_rm3_kl20,-93556.0,-93556.0,-93540.0,-93572.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl10,sup4_ppo_rm3_kl10,-90420.0,-90420.0,-90404.0,-90436.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl20,sup4_ppo_rm3_kl20,-94644.0,-94644.0,-94628.0,-94660.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl10,sup4_ppo_rm3_kl10,-91700.0,-91700.0,-91684.0,-91716.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl10,sup4_ppo_rm3_kl10,-92564.0,-92564.0,-92548.0,-92580.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl10,sup4_ppo_rm3_kl10,-93476.0,-93476.0,-93460.0,-93492.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl10,sup4_ppo_rm3_kl10,-93876.0,-93876.0,-93860.0,-93892.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl20,sup4_ppo_rm3_kl20,-98932.0,-98932.0,-98916.0,-98948.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl20,sup4_ppo_rm3_kl20,-100164.0,-100164.0,-100148.0,-100180.0,0.5,16.0,-16.0
sup4_t0.7,sup4_t0.7,-31001.14110615746,-31001.14110615746,-30985.14110615746,-31017.14110615746,0.5,16.0,-16.0
sup4_t0.7,sup4_t0.7,-32329.141106163865,-32329.141106163865,-32313.141106163865,-32345.141106163865,0.5,16.0,-16.0
sup4_ppo_rm3_kl20,sup4_ppo_rm3_kl20,-102580.0,-102580.0,-102564.0,-102596.0,0.5,16.0,-16.0
sup4_t0.7,sup4_t0.7,-32665.14110620228,-32665.14110620228,-32649.14110620228,-32681.14110620228,0.5,16.0,-16.0
sup4_ppo_rm3_kl20,sup4_ppo_rm3_kl20,-104052.0,-104052.0,-104036.0,-104068.0,0.5,16.0,-16.0
sup4_t0.7,sup4_t0.7,-32825.14110637516,-32825.14110637516,-32809.14110637516,-32841.14110637516,0.5,16.0,-16.0
sup4_t0.7,sup4_t0.7,-33225.14110641678,-33225.14110641678,-33209.14110641678,-33241.14110641678,0.5,16.0,-16.0
sup4_t0.7,sup4_t0.7,-34825.14110641678,-34825.14110641678,-34809.14110641678,-34841.14110641678,0.5,16.0,-16.0
sup4_ppo_rm3_kl20,sup4_ppo_rm3_kl20,-105540.0,-105540.0,-105524.0,-105556.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl20,sup4_ppo_rm3_kl20,-106036.0,-106036.0,-106020.0,-106052.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl20,sup4_ppo_rm3_kl20,-106612.0,-106612.0,-106596.0,-106628.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl10,sup4_ppo_rm3_kl10,-98052.0,-98052.0,-98036.0,-98068.0,0.5,16.0,-16.0
ref,sup4_t0.7,-7828.830848724927,-35705.14110659926,-7828.830848721727,-35705.14110660246,0.9999999999,3.1996023608371615e-09,-3.2014213502407074e-09
sup4_ppo_rm3_kl20,sup4_ppo_rm3_kl20,-108772.0,-108772.0,-108756.0,-108788.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl20,sup4_ppo_rm3_kl20,-110020.0,-110020.0,-110004.0,-110036.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl10,sup4_ppo_rm3_kl10,-101204.0,-101204.0,-101188.0,-101220.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl20,sup4_ppo_rm3_kl20,-110660.0,-110660.0,-110644.0,-110676.0,0.5,16.0,-16.0
sup4_t0.7,sup4_t0.7,-36841.14110665688,-36841.14110665688,-36825.14110665688,-36857.14110665688,0.5,16.0,-16.0
sup4_ppo_rm3_kl20,sup4_ppo_rm3_kl20,-111412.0,-111412.0,-111396.0,-111428.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl10,sup4_ppo_rm3_kl10,-103396.0,-103396.0,-103380.0,-103412.0,0.5,16.0,-16.0
sup4_t0.7,sup4_t0.7,-38169.14110672411,-38169.14110672411,-38153.14110672411,-38185.14110672411,0.5,16.0,-16.0
sup4_t0.7,sup4_t0.7,-39769.14110672411,-39769.14110672411,-39753.14110672411,-39785.14110672411,0.5,16.0,-16.0
sup4_t0.7,sup4_t0.7,-41225.14110673372,-41225.14110673372,-41209.14110673372,-41241.14110673372,0.5,16.0,-16.0
sup4_ppo_rm3_kl20,sup4_ppo_rm3_kl20,-112788.0,-112788.0,-112772.0,-112804.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl20,sup4_ppo_rm3_kl20,-114292.0,-114292.0,-114276.0,-114308.0,0.5,16.0,-16.0
sup4_t0.7,sup4_t0.7,-42937.14110676573,-42937.14110676573,-42921.14110676573,-42953.14110676573,0.5,16.0,-16.0
sup4_ppo_rm3_kl20,sup4_ppo_rm3_kl20,-115028.0,-115028.0,-115012.0,-115044.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl10,sup4_ppo_rm3_kl10,-106036.0,-106036.0,-106020.0,-106052.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl20,sup4_ppo_rm3_kl20,-115652.0,-115652.0,-115636.0,-115668.0,0.5,16.0,-16.0
sup4_t0.7,sup4_t0.7,-44473.141106842566,-44473.141106842566,-44457.141106842566,-44489.141106842566,0.5,16.0,-16.0
